,tract,med_hh_income,ami_category,below_med_income,below_60pct_med_income,below_moderate_income,sup_dist,COMM,Total Population,Total Hispanic/Latine Population,Total Non-Hispanic/Latine Population,"Total Non-Hispanic/Latine Population, One Race","Total White, Non-Hispanic/Latine","Total Black, Non-Hispanic/Latine","Total American Indian/American Native, Non-Hispanic/Latine","Total Asian, Non-Hispanic/Latine"
50123,06037203720,48684.0,Very Low Income,Yes,No,Yes,District 1,Boyle Heights,3580.0,3301.0,279.0,248.0,101.0,56.0,5.0,66.0
50122,06037203720,48684.0,Very Low Income,Yes,No,Yes,District 1,Boyle Heights,3580.0,3301.0,279.0,248.0,101.0,56.0,5.0,66.0
50137,06037203720,48684.0,Very Low Income,Yes,No,Yes,District 1,Boyle Heights,3580.0,3301.0,279.0,248.0,101.0,56.0,5.0,66.0
50138,06037203720,48684.0,Very Low Income,Yes,No,Yes,District 1,Boyle Heights,3580.0,3301.0,279.0,248.0,101.0,56.0,5.0,66.0
50126,06037203720,48684.0,Very Low Income,Yes,No,Yes,District 1,Boyle Heights,3580.0,3301.0,279.0,248.0,101.0,56.0,5.0,66.0
50135,06037203720,48684.0,Very Low Income,Yes,No,Yes,District 1,Boyle Heights,3580.0,3301.0,279.0,248.0,101.0,56.0,5.0,66.0
41262,06037123520,48696.0,Very Low Income,Yes,No,Yes,District 3,Valley Glen,2669.0,1227.0,1442.0,1390.0,1137.0,78.0,6.0,143.0
41261,06037123520,48696.0,Very Low Income,Yes,No,Yes,District 3,Valley Glen,2669.0,1227.0,1442.0,1390.0,1137.0,78.0,6.0,143.0
41260,06037123520,48696.0,Very Low Income,Yes,No,Yes,District 3,Valley Glen,2669.0,1227.0,1442.0,1390.0,1137.0,78.0,6.0,143.0
41259,06037123520,48696.0,Very Low Income,Yes,No,Yes,District 3,Valley Glen,2669.0,1227.0,1442.0,1390.0,1137.0,78.0,6.0,143.0
41258,06037123520,48696.0,Very Low Income,Yes,No,Yes,District 3,Valley Glen,2669.0,1227.0,1442.0,1390.0,1137.0,78.0,6.0,143.0
41257,06037123520,48696.0,Very Low Income,Yes,No,Yes,District 3,Valley Glen,2669.0,1227.0,1442.0,1390.0,1137.0,78.0,6.0,143.0
41263,06037123520,48696.0,Very Low Income,Yes,No,Yes,District 3,Valley Glen,2669.0,1227.0,1442.0,1390.0,1137.0,78.0,6.0,143.0
41256,06037123520,48696.0,Very Low Income,Yes,No,Yes,District 3,Valley Glen,2669.0,1227.0,1442.0,1390.0,1137.0,78.0,6.0,143.0
88164,06037239320,48716.0,Very Low Income,Yes,No,Yes,District 2,Florence-Firestone,3441.0,2942.0,499.0,469.0,26.0,397.0,15.0,14.0
88157,06037239320,48716.0,Very Low Income,Yes,No,Yes,District 2,Florence-Firestone,3441.0,2942.0,499.0,469.0,26.0,397.0,15.0,14.0
88158,06037239320,48716.0,Very Low Income,Yes,No,Yes,District 2,Florence-Firestone,3441.0,2942.0,499.0,469.0,26.0,397.0,15.0,14.0
88159,06037239320,48716.0,Very Low Income,Yes,No,Yes,District 2,Florence-Firestone,3441.0,2942.0,499.0,469.0,26.0,397.0,15.0,14.0
88160,06037239320,48716.0,Very Low Income,Yes,No,Yes,District 2,Florence-Firestone,3441.0,2942.0,499.0,469.0,26.0,397.0,15.0,14.0
88161,06037239320,48716.0,Very Low Income,Yes,No,Yes,District 2,Florence-Firestone,3441.0,2942.0,499.0,469.0,26.0,397.0,15.0,14.0
88162,06037239320,48716.0,Very Low Income,Yes,No,Yes,District 2,Florence-Firestone,3441.0,2942.0,499.0,469.0,26.0,397.0,15.0,14.0
88163,06037239320,48716.0,Very Low Income,Yes,No,Yes,District 2,Florence-Firestone,3441.0,2942.0,499.0,469.0,26.0,397.0,15.0,14.0
88165,06037239320,48716.0,Very Low Income,Yes,No,Yes,District 2,Florence-Firestone,3441.0,2942.0,499.0,469.0,26.0,397.0,15.0,14.0
87895,06037296901,48750.0,Very Low Income,Yes,No,Yes,District 4,San Pedro,4148.0,2660.0,1488.0,1350.0,857.0,257.0,17.0,196.0
87896,06037296901,48750.0,Very Low Income,Yes,No,Yes,District 4,San Pedro,4148.0,2660.0,1488.0,1350.0,857.0,257.0,17.0,196.0
87897,06037296901,48750.0,Very Low Income,Yes,No,Yes,District 4,San Pedro,4148.0,2660.0,1488.0,1350.0,857.0,257.0,17.0,196.0
20397,06037191610,48750.0,Very Low Income,Yes,No,Yes,District 3,Melrose,4271.0,2723.0,1548.0,1431.0,823.0,138.0,3.0,442.0
87899,06037296901,48750.0,Very Low Income,Yes,No,Yes,District 4,San Pedro,4148.0,2660.0,1488.0,1350.0,857.0,257.0,17.0,196.0
87894,06037296901,48750.0,Very Low Income,Yes,No,Yes,District 4,San Pedro,4148.0,2660.0,1488.0,1350.0,857.0,257.0,17.0,196.0
87898,06037296901,48750.0,Very Low Income,Yes,No,Yes,District 4,San Pedro,4148.0,2660.0,1488.0,1350.0,857.0,257.0,17.0,196.0
87893,06037296901,48750.0,Very Low Income,Yes,No,Yes,District 4,San Pedro,4148.0,2660.0,1488.0,1350.0,857.0,257.0,17.0,196.0
87887,06037296901,48750.0,Very Low Income,Yes,No,Yes,District 4,San Pedro,4148.0,2660.0,1488.0,1350.0,857.0,257.0,17.0,196.0
87890,06037296901,48750.0,Very Low Income,Yes,No,Yes,District 4,San Pedro,4148.0,2660.0,1488.0,1350.0,857.0,257.0,17.0,196.0
87889,06037296901,48750.0,Very Low Income,Yes,No,Yes,District 4,San Pedro,4148.0,2660.0,1488.0,1350.0,857.0,257.0,17.0,196.0
87888,06037296901,48750.0,Very Low Income,Yes,No,Yes,District 4,San Pedro,4148.0,2660.0,1488.0,1350.0,857.0,257.0,17.0,196.0
87900,06037296901,48750.0,Very Low Income,Yes,No,Yes,District 4,San Pedro,4148.0,2660.0,1488.0,1350.0,857.0,257.0,17.0,196.0
87886,06037296901,48750.0,Very Low Income,Yes,No,Yes,District 4,San Pedro,4148.0,2660.0,1488.0,1350.0,857.0,257.0,17.0,196.0
87885,06037296901,48750.0,Very Low Income,Yes,No,Yes,District 4,San Pedro,4148.0,2660.0,1488.0,1350.0,857.0,257.0,17.0,196.0
20398,06037191610,48750.0,Very Low Income,Yes,No,Yes,District 3,Melrose,4271.0,2723.0,1548.0,1431.0,823.0,138.0,3.0,442.0
87892,06037296901,48750.0,Very Low Income,Yes,No,Yes,District 4,San Pedro,4148.0,2660.0,1488.0,1350.0,857.0,257.0,17.0,196.0
87901,06037296901,48750.0,Very Low Income,Yes,No,Yes,District 4,San Pedro,4148.0,2660.0,1488.0,1350.0,857.0,257.0,17.0,196.0
87891,06037296901,48750.0,Very Low Income,Yes,No,Yes,District 4,San Pedro,4148.0,2660.0,1488.0,1350.0,857.0,257.0,17.0,196.0
20391,06037191610,48750.0,Very Low Income,Yes,No,Yes,District 3,Melrose,4271.0,2723.0,1548.0,1431.0,823.0,138.0,3.0,442.0
20393,06037191610,48750.0,Very Low Income,Yes,No,Yes,District 3,Melrose,4271.0,2723.0,1548.0,1431.0,823.0,138.0,3.0,442.0
20392,06037191610,48750.0,Very Low Income,Yes,No,Yes,District 3,Melrose,4271.0,2723.0,1548.0,1431.0,823.0,138.0,3.0,442.0
20396,06037191610,48750.0,Very Low Income,Yes,No,Yes,District 3,Melrose,4271.0,2723.0,1548.0,1431.0,823.0,138.0,3.0,442.0
20390,06037191610,48750.0,Very Low Income,Yes,No,Yes,District 3,Melrose,4271.0,2723.0,1548.0,1431.0,823.0,138.0,3.0,442.0
20389,06037191610,48750.0,Very Low Income,Yes,No,Yes,District 3,Melrose,4271.0,2723.0,1548.0,1431.0,823.0,138.0,3.0,442.0
20388,06037191610,48750.0,Very Low Income,Yes,No,Yes,District 3,Melrose,4271.0,2723.0,1548.0,1431.0,823.0,138.0,3.0,442.0
20387,06037191610,48750.0,Very Low Income,Yes,No,Yes,District 3,Melrose,4271.0,2723.0,1548.0,1431.0,823.0,138.0,3.0,442.0
20394,06037191610,48750.0,Very Low Income,Yes,No,Yes,District 3,Melrose,4271.0,2723.0,1548.0,1431.0,823.0,138.0,3.0,442.0
20386,06037191610,48750.0,Very Low Income,Yes,No,Yes,District 3,Melrose,4271.0,2723.0,1548.0,1431.0,823.0,138.0,3.0,442.0
20385,06037191610,48750.0,Very Low Income,Yes,No,Yes,District 3,Melrose,4271.0,2723.0,1548.0,1431.0,823.0,138.0,3.0,442.0
20384,06037191610,48750.0,Very Low Income,Yes,No,Yes,District 3,Melrose,4271.0,2723.0,1548.0,1431.0,823.0,138.0,3.0,442.0
20383,06037191610,48750.0,Very Low Income,Yes,No,Yes,District 3,Melrose,4271.0,2723.0,1548.0,1431.0,823.0,138.0,3.0,442.0
20395,06037191610,48750.0,Very Low Income,Yes,No,Yes,District 3,Melrose,4271.0,2723.0,1548.0,1431.0,823.0,138.0,3.0,442.0
87902,06037296901,48750.0,Very Low Income,Yes,No,Yes,District 4,San Pedro,4148.0,2660.0,1488.0,1350.0,857.0,257.0,17.0,196.0
87903,06037296901,48750.0,Very Low Income,Yes,No,Yes,District 4,San Pedro,4148.0,2660.0,1488.0,1350.0,857.0,257.0,17.0,196.0
87904,06037296901,48750.0,Very Low Income,Yes,No,Yes,District 4,San Pedro,4148.0,2660.0,1488.0,1350.0,857.0,257.0,17.0,196.0
87905,06037296901,48750.0,Very Low Income,Yes,No,Yes,District 4,San Pedro,4148.0,2660.0,1488.0,1350.0,857.0,257.0,17.0,196.0
87908,06037296901,48750.0,Very Low Income,Yes,No,Yes,District 4,San Pedro,4148.0,2660.0,1488.0,1350.0,857.0,257.0,17.0,196.0
87906,06037296901,48750.0,Very Low Income,Yes,No,Yes,District 4,San Pedro,4148.0,2660.0,1488.0,1350.0,857.0,257.0,17.0,196.0
87907,06037296901,48750.0,Very Low Income,Yes,No,Yes,District 4,San Pedro,4148.0,2660.0,1488.0,1350.0,857.0,257.0,17.0,196.0
86450,06037236102,48796.0,Very Low Income,Yes,No,Yes,District 2,Baldwin Hills,3141.0,477.0,2664.0,2485.0,141.0,2214.0,7.0,96.0
86447,06037236102,48796.0,Very Low Income,Yes,No,Yes,District 2,Baldwin Hills,3141.0,477.0,2664.0,2485.0,141.0,2214.0,7.0,96.0
86451,06037236102,48796.0,Very Low Income,Yes,No,Yes,District 2,Baldwin Hills,3141.0,477.0,2664.0,2485.0,141.0,2214.0,7.0,96.0
86455,06037236102,48796.0,Very Low Income,Yes,No,Yes,District 2,Baldwin Hills,3141.0,477.0,2664.0,2485.0,141.0,2214.0,7.0,96.0
86449,06037236102,48796.0,Very Low Income,Yes,No,Yes,District 2,Baldwin Hills,3141.0,477.0,2664.0,2485.0,141.0,2214.0,7.0,96.0
86448,06037236102,48796.0,Very Low Income,Yes,No,Yes,District 2,Baldwin Hills,3141.0,477.0,2664.0,2485.0,141.0,2214.0,7.0,96.0
86452,06037236102,48796.0,Very Low Income,Yes,No,Yes,District 2,Baldwin Hills,3141.0,477.0,2664.0,2485.0,141.0,2214.0,7.0,96.0
86453,06037236102,48796.0,Very Low Income,Yes,No,Yes,District 2,Baldwin Hills,3141.0,477.0,2664.0,2485.0,141.0,2214.0,7.0,96.0
86454,06037236102,48796.0,Very Low Income,Yes,No,Yes,District 2,Baldwin Hills,3141.0,477.0,2664.0,2485.0,141.0,2214.0,7.0,96.0
88196,06037276102,48905.0,Very Low Income,Yes,No,Yes,District 2,Westchester,3310.0,663.0,2647.0,2406.0,752.0,1302.0,9.0,309.0
88199,06037276102,48905.0,Very Low Income,Yes,No,Yes,District 2,Westchester,3310.0,663.0,2647.0,2406.0,752.0,1302.0,9.0,309.0
88197,06037276102,48905.0,Very Low Income,Yes,No,Yes,District 2,Westchester,3310.0,663.0,2647.0,2406.0,752.0,1302.0,9.0,309.0
88188,06037276102,48905.0,Very Low Income,Yes,No,Yes,District 2,Westchester,3310.0,663.0,2647.0,2406.0,752.0,1302.0,9.0,309.0
88190,06037276102,48905.0,Very Low Income,Yes,No,Yes,District 2,Westchester,3310.0,663.0,2647.0,2406.0,752.0,1302.0,9.0,309.0
88191,06037276102,48905.0,Very Low Income,Yes,No,Yes,District 2,Westchester,3310.0,663.0,2647.0,2406.0,752.0,1302.0,9.0,309.0
88192,06037276102,48905.0,Very Low Income,Yes,No,Yes,District 2,Westchester,3310.0,663.0,2647.0,2406.0,752.0,1302.0,9.0,309.0
88193,06037276102,48905.0,Very Low Income,Yes,No,Yes,District 2,Westchester,3310.0,663.0,2647.0,2406.0,752.0,1302.0,9.0,309.0
88198,06037276102,48905.0,Very Low Income,Yes,No,Yes,District 2,Westchester,3310.0,663.0,2647.0,2406.0,752.0,1302.0,9.0,309.0
88195,06037276102,48905.0,Very Low Income,Yes,No,Yes,District 2,Westchester,3310.0,663.0,2647.0,2406.0,752.0,1302.0,9.0,309.0
88189,06037276102,48905.0,Very Low Income,Yes,No,Yes,District 2,Westchester,3310.0,663.0,2647.0,2406.0,752.0,1302.0,9.0,309.0
88194,06037276102,48905.0,Very Low Income,Yes,No,Yes,District 2,Westchester,3310.0,663.0,2647.0,2406.0,752.0,1302.0,9.0,309.0
88173,06037276102,48905.0,Very Low Income,Yes,No,Yes,District 2,Westchester,3310.0,663.0,2647.0,2406.0,752.0,1302.0,9.0,309.0
88182,06037276102,48905.0,Very Low Income,Yes,No,Yes,District 2,Westchester,3310.0,663.0,2647.0,2406.0,752.0,1302.0,9.0,309.0
88171,06037276102,48905.0,Very Low Income,Yes,No,Yes,District 2,Westchester,3310.0,663.0,2647.0,2406.0,752.0,1302.0,9.0,309.0
88170,06037276102,48905.0,Very Low Income,Yes,No,Yes,District 2,Westchester,3310.0,663.0,2647.0,2406.0,752.0,1302.0,9.0,309.0
88172,06037276102,48905.0,Very Low Income,Yes,No,Yes,District 2,Westchester,3310.0,663.0,2647.0,2406.0,752.0,1302.0,9.0,309.0
88175,06037276102,48905.0,Very Low Income,Yes,No,Yes,District 2,Westchester,3310.0,663.0,2647.0,2406.0,752.0,1302.0,9.0,309.0
88176,06037276102,48905.0,Very Low Income,Yes,No,Yes,District 2,Westchester,3310.0,663.0,2647.0,2406.0,752.0,1302.0,9.0,309.0
88177,06037276102,48905.0,Very Low Income,Yes,No,Yes,District 2,Westchester,3310.0,663.0,2647.0,2406.0,752.0,1302.0,9.0,309.0
88178,06037276102,48905.0,Very Low Income,Yes,No,Yes,District 2,Westchester,3310.0,663.0,2647.0,2406.0,752.0,1302.0,9.0,309.0
88179,06037276102,48905.0,Very Low Income,Yes,No,Yes,District 2,Westchester,3310.0,663.0,2647.0,2406.0,752.0,1302.0,9.0,309.0
88180,06037276102,48905.0,Very Low Income,Yes,No,Yes,District 2,Westchester,3310.0,663.0,2647.0,2406.0,752.0,1302.0,9.0,309.0
88174,06037276102,48905.0,Very Low Income,Yes,No,Yes,District 2,Westchester,3310.0,663.0,2647.0,2406.0,752.0,1302.0,9.0,309.0
88183,06037276102,48905.0,Very Low Income,Yes,No,Yes,District 2,Westchester,3310.0,663.0,2647.0,2406.0,752.0,1302.0,9.0,309.0
88184,06037276102,48905.0,Very Low Income,Yes,No,Yes,District 2,Westchester,3310.0,663.0,2647.0,2406.0,752.0,1302.0,9.0,309.0
88181,06037276102,48905.0,Very Low Income,Yes,No,Yes,District 2,Westchester,3310.0,663.0,2647.0,2406.0,752.0,1302.0,9.0,309.0
88169,06037276102,48905.0,Very Low Income,Yes,No,Yes,District 2,Westchester,3310.0,663.0,2647.0,2406.0,752.0,1302.0,9.0,309.0
88186,06037276102,48905.0,Very Low Income,Yes,No,Yes,District 2,Westchester,3310.0,663.0,2647.0,2406.0,752.0,1302.0,9.0,309.0
88166,06037276102,48905.0,Very Low Income,Yes,No,Yes,District 2,Westchester,3310.0,663.0,2647.0,2406.0,752.0,1302.0,9.0,309.0
88187,06037276102,48905.0,Very Low Income,Yes,No,Yes,District 2,Westchester,3310.0,663.0,2647.0,2406.0,752.0,1302.0,9.0,309.0
88185,06037276102,48905.0,Very Low Income,Yes,No,Yes,District 2,Westchester,3310.0,663.0,2647.0,2406.0,752.0,1302.0,9.0,309.0
88168,06037276102,48905.0,Very Low Income,Yes,No,Yes,District 2,Westchester,3310.0,663.0,2647.0,2406.0,752.0,1302.0,9.0,309.0
88167,06037276102,48905.0,Very Low Income,Yes,No,Yes,District 2,Westchester,3310.0,663.0,2647.0,2406.0,752.0,1302.0,9.0,309.0
88138,06037239501,49085.0,Very Low Income,Yes,No,Yes,District 2,Florence-Firestone,3835.0,3012.0,823.0,781.0,31.0,694.0,3.0,25.0
88141,06037239501,49085.0,Very Low Income,Yes,No,Yes,District 2,Florence-Firestone,3835.0,3012.0,823.0,781.0,31.0,694.0,3.0,25.0
88137,06037239501,49085.0,Very Low Income,Yes,No,Yes,District 2,Florence-Firestone,3835.0,3012.0,823.0,781.0,31.0,694.0,3.0,25.0
88140,06037239501,49085.0,Very Low Income,Yes,No,Yes,District 2,Florence-Firestone,3835.0,3012.0,823.0,781.0,31.0,694.0,3.0,25.0
88134,06037239501,49085.0,Very Low Income,Yes,No,Yes,District 2,Florence-Firestone,3835.0,3012.0,823.0,781.0,31.0,694.0,3.0,25.0
88132,06037239501,49085.0,Very Low Income,Yes,No,Yes,District 2,Florence-Firestone,3835.0,3012.0,823.0,781.0,31.0,694.0,3.0,25.0
88133,06037239501,49085.0,Very Low Income,Yes,No,Yes,District 2,Florence-Firestone,3835.0,3012.0,823.0,781.0,31.0,694.0,3.0,25.0
88136,06037239501,49085.0,Very Low Income,Yes,No,Yes,District 2,Florence-Firestone,3835.0,3012.0,823.0,781.0,31.0,694.0,3.0,25.0
88135,06037239501,49085.0,Very Low Income,Yes,No,Yes,District 2,Florence-Firestone,3835.0,3012.0,823.0,781.0,31.0,694.0,3.0,25.0
88129,06037239501,49085.0,Very Low Income,Yes,No,Yes,District 2,Florence-Firestone,3835.0,3012.0,823.0,781.0,31.0,694.0,3.0,25.0
88139,06037239501,49085.0,Very Low Income,Yes,No,Yes,District 2,Florence-Firestone,3835.0,3012.0,823.0,781.0,31.0,694.0,3.0,25.0
88130,06037239501,49085.0,Very Low Income,Yes,No,Yes,District 2,Florence-Firestone,3835.0,3012.0,823.0,781.0,31.0,694.0,3.0,25.0
88148,06037239501,49085.0,Very Low Income,Yes,No,Yes,District 2,Florence-Firestone,3835.0,3012.0,823.0,781.0,31.0,694.0,3.0,25.0
88131,06037239501,49085.0,Very Low Income,Yes,No,Yes,District 2,Florence-Firestone,3835.0,3012.0,823.0,781.0,31.0,694.0,3.0,25.0
88144,06037239501,49085.0,Very Low Income,Yes,No,Yes,District 2,Florence-Firestone,3835.0,3012.0,823.0,781.0,31.0,694.0,3.0,25.0
88145,06037239501,49085.0,Very Low Income,Yes,No,Yes,District 2,Florence-Firestone,3835.0,3012.0,823.0,781.0,31.0,694.0,3.0,25.0
88146,06037239501,49085.0,Very Low Income,Yes,No,Yes,District 2,Florence-Firestone,3835.0,3012.0,823.0,781.0,31.0,694.0,3.0,25.0
88147,06037239501,49085.0,Very Low Income,Yes,No,Yes,District 2,Florence-Firestone,3835.0,3012.0,823.0,781.0,31.0,694.0,3.0,25.0
88143,06037239501,49085.0,Very Low Income,Yes,No,Yes,District 2,Florence-Firestone,3835.0,3012.0,823.0,781.0,31.0,694.0,3.0,25.0
88156,06037239501,49085.0,Very Low Income,Yes,No,Yes,District 2,Florence-Firestone,3835.0,3012.0,823.0,781.0,31.0,694.0,3.0,25.0
88142,06037239501,49085.0,Very Low Income,Yes,No,Yes,District 2,Florence-Firestone,3835.0,3012.0,823.0,781.0,31.0,694.0,3.0,25.0
88154,06037239501,49085.0,Very Low Income,Yes,No,Yes,District 2,Florence-Firestone,3835.0,3012.0,823.0,781.0,31.0,694.0,3.0,25.0
88153,06037239501,49085.0,Very Low Income,Yes,No,Yes,District 2,Florence-Firestone,3835.0,3012.0,823.0,781.0,31.0,694.0,3.0,25.0
88152,06037239501,49085.0,Very Low Income,Yes,No,Yes,District 2,Florence-Firestone,3835.0,3012.0,823.0,781.0,31.0,694.0,3.0,25.0
88151,06037239501,49085.0,Very Low Income,Yes,No,Yes,District 2,Florence-Firestone,3835.0,3012.0,823.0,781.0,31.0,694.0,3.0,25.0
88150,06037239501,49085.0,Very Low Income,Yes,No,Yes,District 2,Florence-Firestone,3835.0,3012.0,823.0,781.0,31.0,694.0,3.0,25.0
88149,06037239501,49085.0,Very Low Income,Yes,No,Yes,District 2,Florence-Firestone,3835.0,3012.0,823.0,781.0,31.0,694.0,3.0,25.0
88155,06037239501,49085.0,Very Low Income,Yes,No,Yes,District 2,Florence-Firestone,3835.0,3012.0,823.0,781.0,31.0,694.0,3.0,25.0
91584,06037190401,49132.0,Very Low Income,Yes,No,Yes,District 1,Thai Town,2857.0,610.0,2247.0,2116.0,1690.0,119.0,7.0,286.0
91585,06037190401,49132.0,Very Low Income,Yes,No,Yes,District 1,Thai Town,2857.0,610.0,2247.0,2116.0,1690.0,119.0,7.0,286.0
91586,06037190401,49132.0,Very Low Income,Yes,No,Yes,District 1,Thai Town,2857.0,610.0,2247.0,2116.0,1690.0,119.0,7.0,286.0
41141,06037123205,49280.0,Very Low Income,Yes,No,Yes,District 3,North Hollywood,2503.0,1920.0,583.0,554.0,376.0,78.0,1.0,88.0
41148,06037123205,49280.0,Very Low Income,Yes,No,Yes,District 3,North Hollywood,2503.0,1920.0,583.0,554.0,376.0,78.0,1.0,88.0
41142,06037123205,49280.0,Very Low Income,Yes,No,Yes,District 3,North Hollywood,2503.0,1920.0,583.0,554.0,376.0,78.0,1.0,88.0
41143,06037123205,49280.0,Very Low Income,Yes,No,Yes,District 3,North Hollywood,2503.0,1920.0,583.0,554.0,376.0,78.0,1.0,88.0
41149,06037123205,49280.0,Very Low Income,Yes,No,Yes,District 3,North Hollywood,2503.0,1920.0,583.0,554.0,376.0,78.0,1.0,88.0
41150,06037123205,49280.0,Very Low Income,Yes,No,Yes,District 3,North Hollywood,2503.0,1920.0,583.0,554.0,376.0,78.0,1.0,88.0
41151,06037123205,49280.0,Very Low Income,Yes,No,Yes,District 3,North Hollywood,2503.0,1920.0,583.0,554.0,376.0,78.0,1.0,88.0
41152,06037123205,49280.0,Very Low Income,Yes,No,Yes,District 3,North Hollywood,2503.0,1920.0,583.0,554.0,376.0,78.0,1.0,88.0
41153,06037123205,49280.0,Very Low Income,Yes,No,Yes,District 3,North Hollywood,2503.0,1920.0,583.0,554.0,376.0,78.0,1.0,88.0
41154,06037123205,49280.0,Very Low Income,Yes,No,Yes,District 3,North Hollywood,2503.0,1920.0,583.0,554.0,376.0,78.0,1.0,88.0
41147,06037123205,49280.0,Very Low Income,Yes,No,Yes,District 3,North Hollywood,2503.0,1920.0,583.0,554.0,376.0,78.0,1.0,88.0
41155,06037123205,49280.0,Very Low Income,Yes,No,Yes,District 3,North Hollywood,2503.0,1920.0,583.0,554.0,376.0,78.0,1.0,88.0
41157,06037123205,49280.0,Very Low Income,Yes,No,Yes,District 3,North Hollywood,2503.0,1920.0,583.0,554.0,376.0,78.0,1.0,88.0
41158,06037123205,49280.0,Very Low Income,Yes,No,Yes,District 3,North Hollywood,2503.0,1920.0,583.0,554.0,376.0,78.0,1.0,88.0
41146,06037123205,49280.0,Very Low Income,Yes,No,Yes,District 3,North Hollywood,2503.0,1920.0,583.0,554.0,376.0,78.0,1.0,88.0
41145,06037123205,49280.0,Very Low Income,Yes,No,Yes,District 3,North Hollywood,2503.0,1920.0,583.0,554.0,376.0,78.0,1.0,88.0
41144,06037123205,49280.0,Very Low Income,Yes,No,Yes,District 3,North Hollywood,2503.0,1920.0,583.0,554.0,376.0,78.0,1.0,88.0
41140,06037123205,49280.0,Very Low Income,Yes,No,Yes,District 3,North Hollywood,2503.0,1920.0,583.0,554.0,376.0,78.0,1.0,88.0
41156,06037123205,49280.0,Very Low Income,Yes,No,Yes,District 3,North Hollywood,2503.0,1920.0,583.0,554.0,376.0,78.0,1.0,88.0
41139,06037123205,49280.0,Very Low Income,Yes,No,Yes,District 3,North Hollywood,2503.0,1920.0,583.0,554.0,376.0,78.0,1.0,88.0
90434,06037239601,49286.0,Very Low Income,Yes,No,Yes,District 2,Florence-Firestone,3631.0,2875.0,756.0,707.0,54.0,605.0,3.0,24.0
90441,06037239601,49286.0,Very Low Income,Yes,No,Yes,District 2,Florence-Firestone,3631.0,2875.0,756.0,707.0,54.0,605.0,3.0,24.0
90435,06037239601,49286.0,Very Low Income,Yes,No,Yes,District 2,Florence-Firestone,3631.0,2875.0,756.0,707.0,54.0,605.0,3.0,24.0
90433,06037239601,49286.0,Very Low Income,Yes,No,Yes,District 2,Florence-Firestone,3631.0,2875.0,756.0,707.0,54.0,605.0,3.0,24.0
90436,06037239601,49286.0,Very Low Income,Yes,No,Yes,District 2,Florence-Firestone,3631.0,2875.0,756.0,707.0,54.0,605.0,3.0,24.0
90437,06037239601,49286.0,Very Low Income,Yes,No,Yes,District 2,Florence-Firestone,3631.0,2875.0,756.0,707.0,54.0,605.0,3.0,24.0
90438,06037239601,49286.0,Very Low Income,Yes,No,Yes,District 2,Florence-Firestone,3631.0,2875.0,756.0,707.0,54.0,605.0,3.0,24.0
90439,06037239601,49286.0,Very Low Income,Yes,No,Yes,District 2,Florence-Firestone,3631.0,2875.0,756.0,707.0,54.0,605.0,3.0,24.0
90440,06037239601,49286.0,Very Low Income,Yes,No,Yes,District 2,Florence-Firestone,3631.0,2875.0,756.0,707.0,54.0,605.0,3.0,24.0
90442,06037239601,49286.0,Very Low Income,Yes,No,Yes,District 2,Florence-Firestone,3631.0,2875.0,756.0,707.0,54.0,605.0,3.0,24.0
90443,06037239601,49286.0,Very Low Income,Yes,No,Yes,District 2,Florence-Firestone,3631.0,2875.0,756.0,707.0,54.0,605.0,3.0,24.0
90444,06037239601,49286.0,Very Low Income,Yes,No,Yes,District 2,Florence-Firestone,3631.0,2875.0,756.0,707.0,54.0,605.0,3.0,24.0
90445,06037239601,49286.0,Very Low Income,Yes,No,Yes,District 2,Florence-Firestone,3631.0,2875.0,756.0,707.0,54.0,605.0,3.0,24.0
88765,06037232500,49293.0,Very Low Income,Yes,No,Yes,District 2,West Vernon,5066.0,3183.0,1883.0,1795.0,98.0,1591.0,10.0,40.0
88764,06037232500,49293.0,Very Low Income,Yes,No,Yes,District 2,West Vernon,5066.0,3183.0,1883.0,1795.0,98.0,1591.0,10.0,40.0
88763,06037232500,49293.0,Very Low Income,Yes,No,Yes,District 2,West Vernon,5066.0,3183.0,1883.0,1795.0,98.0,1591.0,10.0,40.0
88784,06037232500,49293.0,Very Low Income,Yes,No,Yes,District 2,West Vernon,5066.0,3183.0,1883.0,1795.0,98.0,1591.0,10.0,40.0
88766,06037232500,49293.0,Very Low Income,Yes,No,Yes,District 2,West Vernon,5066.0,3183.0,1883.0,1795.0,98.0,1591.0,10.0,40.0
88783,06037232500,49293.0,Very Low Income,Yes,No,Yes,District 2,West Vernon,5066.0,3183.0,1883.0,1795.0,98.0,1591.0,10.0,40.0
88762,06037232500,49293.0,Very Low Income,Yes,No,Yes,District 2,West Vernon,5066.0,3183.0,1883.0,1795.0,98.0,1591.0,10.0,40.0
88768,06037232500,49293.0,Very Low Income,Yes,No,Yes,District 2,West Vernon,5066.0,3183.0,1883.0,1795.0,98.0,1591.0,10.0,40.0
88767,06037232500,49293.0,Very Low Income,Yes,No,Yes,District 2,West Vernon,5066.0,3183.0,1883.0,1795.0,98.0,1591.0,10.0,40.0
88770,06037232500,49293.0,Very Low Income,Yes,No,Yes,District 2,West Vernon,5066.0,3183.0,1883.0,1795.0,98.0,1591.0,10.0,40.0
88782,06037232500,49293.0,Very Low Income,Yes,No,Yes,District 2,West Vernon,5066.0,3183.0,1883.0,1795.0,98.0,1591.0,10.0,40.0
